,LB,BOLE,MOOB,ARF,ARFre,FU-LB,FU-ARF,FU-ARFre,OALE,CALMID
44,0.998463161,0.998656109,0.998952829,0.998120007,0.999025276,0.993312385,0.998216542,0.995774247,0.97714754,0.997855104
45,0.998779313,0.999000465,0.999190636,0.999053425,0.999157215,0.99435621,0.998515572,0.99739375,0.978281501,0.998741699
46,0.99755369,0.99976872,0.999304361,0.999664972,0.999624306,0.997079328,0.999353566,0.998940119,0.985212327,0.99965753
47,0.996848827,0.99818168,0.998974635,0.999083,0.99956919,0.997112473,0.999351994,0.996546629,0.988329239,0.99884009
48,0.994516209,0.997550253,0.998968116,0.999543529,0.99913928,0.995491973,0.998503007,0.997556084,0.983277033,0.998759267
49,0.993726094,0.999150224,0.999389545,0.999815557,0.999486188,0.998667123,0.999107412,0.999743487,0.986619687,0.999305057
50,0.999673863,0.998834266,0.998392202,0.998818692,0.998115463,0.996990112,0.998617226,0.999646189,0.9822368,0.999146498
51,0.99951328,0.999001715,0.998617552,0.999029068,0.999075479,0.998298124,0.998876773,0.999269421,0.983819099,0.999361137
52,0.999657079,0.999621231,0.999446023,0.999681255,0.999681822,0.998636708,0.999622816,0.999688681,0.987043675,0.999540433
53,0.999590307,0.995475924,0.99942397,0.998220756,0.999108759,0.997634778,0.997732498,0.993216434,0.981391852,0.999465564
54,0.998635985,0.999651165,0.998025835,0.999925723,0.999911477,0.99804865,0.999411496,0.999134556,0.985237482,0.99862619
55,0.998329897,0.998932438,0.998721513,0.998991532,0.998643797,0.996158503,0.999001032,0.998651837,0.983432468,0.99866041
56,0.997400237,0.99823341,0.997368853,0.999703394,0.998743334,0.998059138,0.99848195,0.999203286,0.982465805,0.998336683
57,0.9906114,0.995884532,0.997660478,0.999398236,0.999101417,0.993825295,0.997945995,0.989621671,0.982893839,0.997933839
58,0.996358071,0.999778474,0.999102251,0.99951495,0.999741518,0.996615842,0.999682585,0.999205197,0.989812751,0.999297935
59,0.997916033,0.996404462,0.997818982,0.99890027,0.999068573,0.993765572,0.998119943,0.9952697,0.98209915,0.99790778
60,0.999384908,0.999186239,0.998197402,0.998670216,0.997850436,0.997830444,0.998730955,0.999308263,0.987789441,0.999458689
61,0.99638242,0.999529453,0.998278473,0.99920429,0.999085468,0.999539208,0.999550379,0.999579205,0.989633395,0.999634781
62,0.993133337,0.999902308,0.999390282,0.999293352,0.999790559,0.998197697,0.998088576,0.999097248,0.9889037,0.999635643
63,0.992631635,0.998233082,0.998929835,0.99941032,0.999096344,0.996111764,0.999382343,0.998482865,0.981728421,0.997823411
64,0.996416706,0.998974536,0.998851805,0.999421465,0.999735166,0.996986703,0.999292336,0.999692974,0.985793322,0.998928429
65,0.999610474,0.999469863,0.998870832,0.999704231,0.999638226,0.999367937,0.999497478,0.994847175,0.986392971,0.999570479
66,0.999584058,0.999690257,0.999377603,0.999871065,0.999675083,0.999364223,0.999739673,0.999766963,0.988748473,0.999590304
67,0.999459679,0.99951836,0.999084259,0.99974632,0.999215917,0.999360594,0.99885198,0.998690614,0.986892401,0.999312594
68,0.999838778,0.999890577,0.999739569,0.999900476,0.999598309,0.999757202,0.999892943,0.999828653,0.987184635,0.999876753
69,0.999129464,0.999492446,0.999245845,0.999475208,0.999450704,0.996977549,0.999236991,0.998259656,0.986729773,0.999250852
70,0.997522029,0.997147664,0.999526839,0.999087246,0.999324117,0.998739122,0.998673547,0.996202649,0.982016908,0.99767563
71,0.999548476,0.998953497,0.9993498,0.999781739,0.999098923,0.999287559,0.999463942,0.999565155,0.987211607,0.999579806
72,0.999567222,0.999499365,0.999663652,0.999798893,0.999927004,0.999615674,0.999490685,0.999687396,0.987526885,0.999841465
73,0.998870903,0.998274146,0.999416958,0.998249956,0.998850443,0.997293403,0.998656968,0.996372961,0.982223817,0.998309998
74,0.995952553,0.999801506,0.995414468,0.999672163,0.99969074,0.997198997,0.998618518,0.999279823,0.984735648,0.999167296
75,0.999223974,0.997204565,0.999271671,0.999154997,0.997966249,0.997952911,0.997892601,0.99881228,0.987444035,0.999211962
76,0.999141007,0.999602691,0.999570443,0.999781612,0.999615568,0.999389649,0.999634394,0.99948415,0.988101422,0.99956468
77,0.99334289,0.999661922,0.99945052,0.999719892,0.999801064,0.996971437,0.999346489,0.999437912,0.986782725,0.998929738
78,0.999497988,0.999955913,0.999710341,0.999859788,0.999941203,0.999639937,0.999920526,0.99987206,0.991156993,0.999936423
79,0.999520843,0.999709992,0.999215025,0.999492897,0.999837207,0.996008121,0.998920317,0.999588368,0.988670079,0.99800542
80,0.999828929,0.999939145,0.999632451,0.999900573,0.999785788,0.998890071,0.999690557,0.999787817,0.991571211,0.999881475
81,0.999618541,0.999510801,0.999217161,0.999134785,0.998458739,0.999641266,0.999198516,0.999660606,0.989142511,0.999372136
82,0.999942073,0.99990339,0.999658257,0.999858526,0.99988763,0.999727237,0.999862569,0.999957644,0.990645341,0.999884817
83,0.999200323,0.999934814,0.999781054,0.999911557,0.999934525,0.999248352,0.999921141,0.999915939,0.993148895,0.999545194
84,0.995043992,0.99697859,0.989202043,0.996637162,0.99794759,0.993994735,0.997404816,0.98956978,0.977726894,0.996929914
85,0.995244846,0.999359635,0.998861578,0.998606992,0.998705281,0.998105954,0.998739564,0.999059087,0.987688416,0.998323804
86,0.999108023,0.999907404,0.999618707,0.999844684,0.999973122,0.99939941,0.999833009,0.999897134,0.98896521,0.99974996
87,0.999113142,0.999410831,0.996515619,0.999852453,0.999677288,0.997346964,0.999305785,0.999106652,0.985737113,0.999188997
88,0.999434854,0.999501415,0.998627341,0.999371971,0.999919614,0.998573767,0.999675173,0.999758324,0.984936709,0.99962125
89,0.999134576,0.998902059,0.998905148,0.999297144,0.999189995,0.995108437,0.998774258,0.999771436,0.981444363,0.999067784
90,0.999788474,0.999958464,0.999748769,0.999906479,0.999737129,0.999856905,0.999897811,0.999926477,0.992244348,0.999950543
91,0.997306698,0.999061516,0.999265685,0.999603023,0.999679128,0.997595574,0.99944247,0.999493018,0.988339704,0.998877158
92,0.999417252,0.998758787,0.99915748,0.99924413,0.999081234,0.998062462,0.998804257,0.998812492,0.988676718,0.999240264
93,0.999129064,0.993291439,0.997982777,0.994919244,0.999221576,0.998088874,0.998447374,0.99922606,0.982994368,0.998214605
94,0.994455851,0.993618097,0.99248835,0.997765006,0.997178464,0.992153249,0.994414686,0.992359955,0.971349137,0.995229784
95,0.994614761,0.990586241,0.992143675,0.997974346,0.997421247,0.986173598,0.994492337,0.994898923,0.970542222,0.993720279
96,0.987294586,0.990122289,0.984741556,0.9937613,0.993133072,0.986961474,0.991672286,0.991305486,0.961721085,0.990032997
97,0.979639413,0.98386904,0.984017362,0.98059375,0.970748058,0.978212932,0.984500679,0.986383177,0.946948127,0.984543798
98,0.963110125,0.94002331,0.970128789,0.87739991,0.782378622,0.960551499,0.970786911,0.968898124,0.91568855,0.973333002
99,0.963115205,0.895561116,0.955218297,0.905252041,0.862911671,0.949796694,0.954654214,0.941857648,0.883836788,0.966845915
100,0.931715585,0.868810225,0.92182954,0.899550639,0.831834861,0.900969644,0.88723594,0.884414523,0.814761736,0.940204129
101,0.910098618,0.792943332,0.888218532,0.89772822,0.839612175,0.856734728,0.790795669,0.68282563,0.759692494,0.915969576
102,0.916535243,0.806525657,0.897740562,0.902695315,0.86329265,0.858609012,0.702377996,0.650400481,0.744518283,0.926893935
103,0.883476387,0.812773841,0.88146259,0.889135507,0.843476715,0.819780405,0.679832192,0.659549426,0.71944086,0.909687573
104,0.884649782,0.797915373,0.858395927,0.891678632,0.875062348,0.793076724,0.657730178,0.672450762,0.71693796,0.899580537
105,0.894588917,0.818946979,0.874402038,0.886440212,0.877432598,0.811949383,0.646176229,0.665341112,0.719720674,0.90587119
106,0.896889064,0.853588211,0.881708047,0.908579685,0.883947435,0.821902454,0.71058212,0.737391946,0.728072036,0.915878805
107,0.907885669,0.847519502,0.909389592,0.913326057,0.898576243,0.831653589,0.724380216,0.746139715,0.729791963,0.929354544
108,0.908863302,0.859425009,0.904211541,0.930195874,0.898884192,0.84381956,0.739202842,0.746575924,0.749733398,0.932146731
109,0.901907773,0.861773497,0.897694502,0.924336954,0.911724399,0.835241368,0.744485324,0.73085817,0.750705137,0.929739641
110,0.90598911,0.863825691,0.908686567,0.930162043,0.917873413,0.841750059,0.750000712,0.740036457,0.749308842,0.933753013
111,0.917879045,0.873349355,0.903892378,0.925083273,0.920848158,0.844278764,0.770078166,0.751859491,0.755832835,0.932848499
112,0.920902601,0.892764686,0.90677083,0.929968925,0.934785045,0.863302558,0.811801292,0.789815487,0.766751065,0.939053495
113,0.930387734,0.893184597,0.898632405,0.927761142,0.931514168,0.854799538,0.805571997,0.791621534,0.755771677,0.938563625
114,0.935459607,0.903053239,0.914897075,0.946152203,0.930287217,0.858300153,0.812048089,0.797870249,0.773055025,0.945064406
115,0.941139316,0.89178398,0.933080095,0.94533069,0.944753898,0.869068743,0.826520659,0.819464036,0.783408093,0.947325814
116,0.952197079,0.893782406,0.93831861,0.945344861,0.940924212,0.880608929,0.844691109,0.831555694,0.797835749,0.949216533
117,0.936522657,0.884078591,0.918086684,0.950343547,0.937758851,0.871339825,0.843233962,0.837297031,0.777186398,0.939809721
118,0.946255986,0.889230861,0.920754747,0.950882749,0.945294542,0.874415303,0.852110567,0.851679647,0.792023616,0.946859505
119,0.938817653,0.885744856,0.913278463,0.948723541,0.941736223,0.874579021,0.848573087,0.843499592,0.78052858,0.941445141
120,0.938928536,0.891447609,0.916971864,0.946853213,0.933370223,0.865052649,0.844447983,0.823451404,0.773766843,0.941704406
121,0.95348953,0.899521313,0.929753768,0.951115499,0.95093256,0.879832054,0.865058596,0.862294603,0.800976069,0.950870475
122,0.948452099,0.887030301,0.915400199,0.941908796,0.943063761,0.872361507,0.860067541,0.859624443,0.778267819,0.942066994
123,0.940088933,0.883697031,0.901749738,0.95108648,0.936823191,0.86095453,0.849964998,0.847118091,0.760367561,0.937101274
124,0.947913344,0.917586951,0.92173223,0.948735222,0.954330414,0.872504594,0.873419048,0.871168078,0.775715005,0.948294509
125,0.954502374,0.907029895,0.930544522,0.955568148,0.960205461,0.902168072,0.890772499,0.887661838,0.805410161,0.957659585
126,0.949715732,0.899998344,0.92246558,0.951515803,0.952007237,0.871374037,0.872799376,0.855030767,0.772223301,0.945560994
127,0.950034963,0.900166714,0.919317738,0.949897428,0.945294939,0.87790974,0.877482443,0.86938393,0.785818131,0.948671147
128,0.95565951,0.906116963,0.92077342,0.957587343,0.954690106,0.891111558,0.889791574,0.876253092,0.802123506,0.956306503
