,LB,BOLE,MOOB,ARF,ARFre,SS-LB,FU-ARF,SS-ARFre,OALE,CALMID
44,0.996824694,0.997946009,0.998474614,0.998663228,0.999337465,0.996792199,0.999279431,0.998749743,0.987553221,0.999388229
45,0.998095437,0.993861575,0.994086533,0.998936382,0.999333229,0.995119859,0.998516439,0.997838981,0.985167149,0.999324766
46,0.999046178,0.997114409,0.996503341,0.999258184,0.999670953,0.994709019,0.998104906,0.997586473,0.98746255,0.998578196
47,0.997934751,0.997442013,0.997612887,0.999111215,0.99850774,0.99513424,0.997698477,0.997668721,0.984779517,0.999389878
48,0.998688344,0.996874671,0.999031768,0.999605973,0.99916421,0.994985356,0.998565214,0.998628626,0.98986209,0.99919379
49,0.995816321,0.9962793,0.995443039,0.995864643,0.999275611,0.994829904,0.997479039,0.997007871,0.986300896,0.997781039
50,0.997501565,0.99754584,0.996343957,0.999138415,0.998757259,0.995097015,0.997133781,0.997896174,0.986048587,0.997673522
51,0.999148819,0.998573838,0.99877743,0.999568492,0.996031227,0.996310908,0.99603724,0.995137246,0.988920211,0.999639824
52,0.999285831,0.9991038,0.997371464,0.999298326,0.999648515,0.997092002,0.998295953,0.997794865,0.988721876,0.999578762
53,0.998551173,0.998173079,0.994178613,0.999557522,0.999247386,0.995141851,0.997543488,0.997510774,0.987744611,0.998679657
54,0.99923653,0.998109305,0.999596138,0.999533813,0.999900324,0.996517712,0.999437894,0.998868111,0.988586273,0.999785509
55,0.999318318,0.998307409,0.999127458,0.999455949,0.998835527,0.996945159,0.997774647,0.998600322,0.989998994,0.999549996
56,0.999510084,0.999179515,0.999257556,0.999669655,0.999164499,0.997172175,0.999149509,0.998832648,0.9932337,0.999844826
57,0.994362999,0.995416127,0.994211913,0.998536341,0.994824613,0.991901797,0.994765442,0.993456385,0.982017038,0.997597097
58,0.999415721,0.998002112,0.99927699,0.999387359,0.999677504,0.996370397,0.997813625,0.997940843,0.985523437,0.998855731
59,0.998864815,0.997093674,0.99932668,0.999577558,0.999241499,0.99558987,0.999199679,0.998524134,0.988664495,0.999445548
60,0.995716372,0.998936216,0.99934653,0.998757776,0.999259177,0.993423615,0.997692632,0.998182342,0.98620381,0.998649497
61,0.998323298,0.999120957,0.999144233,0.999607596,0.999523728,0.995799853,0.999038767,0.998761376,0.990371208,0.999525862
62,0.999074657,0.99923967,0.999580873,0.999760945,0.999548963,0.996900399,0.999217466,0.997709875,0.993111685,0.999419138
63,0.999359562,0.998878913,0.999112514,0.999577918,0.999344081,0.997895612,0.998911007,0.998372783,0.989801127,0.999152727
64,0.99675006,0.996615372,0.999189003,0.999635612,0.999520183,0.997403936,0.999288014,0.999334442,0.987654893,0.999337584
65,0.998239417,0.997525598,0.999082384,0.999876462,0.999651257,0.996439315,0.999639291,0.999330499,0.992253889,0.999648698
66,0.999393784,0.999179994,0.999275518,0.999309566,0.999597527,0.99585995,0.999006591,0.998860078,0.986918705,0.999555169
67,0.99888244,0.998716948,0.999427719,0.999864836,0.99981026,0.998287661,0.999554645,0.998930481,0.991789924,0.99973452
68,0.997758102,0.99854532,0.998249502,0.999529449,0.999329981,0.996324594,0.998327191,0.998582068,0.988626809,0.99890835
69,0.999614432,0.9993158,0.999664393,0.999687254,0.999723266,0.997263644,0.99690225,0.996081737,0.990304779,0.998858567
70,0.998848075,0.998155852,0.999484681,0.999699808,0.999802496,0.997736776,0.999026322,0.998632235,0.991343827,0.998750651
71,0.992739079,0.998032474,0.99872762,0.999599892,0.999340577,0.995756071,0.99920652,0.998936483,0.989861219,0.99956089
72,0.99850736,0.998172207,0.998953049,0.999153249,0.999364744,0.996794971,0.996872291,0.996641481,0.988868496,0.999596571
73,0.997976558,0.998777941,0.999579911,0.998751535,0.999652094,0.997538526,0.998325902,0.998798727,0.989777696,0.999730236
74,0.999722632,0.999356194,0.999472105,0.999823683,0.999798049,0.998830552,0.999753977,0.999501732,0.992692036,0.999878212
75,0.999437431,0.99786569,0.998999268,0.998931562,0.999503875,0.996735117,0.998614466,0.998850403,0.989386116,0.999404715
76,0.999574615,0.999019499,0.999524722,0.999566814,0.99964432,0.998560401,0.998790935,0.998445506,0.991337842,0.999805352
77,0.99600501,0.999021557,0.996764734,0.999056068,0.998066474,0.995332102,0.997783823,0.997563083,0.984352961,0.998890895
78,0.99945014,0.999440742,0.999194865,0.999715483,0.999701444,0.998532521,0.99941331,0.998150018,0.994473758,0.999688454
79,0.996141656,0.998397931,0.999329352,0.99932573,0.999547179,0.996962276,0.99855915,0.998656097,0.992751823,0.998955121
80,0.999305706,0.999139058,0.999695463,0.99990244,0.999774745,0.997225346,0.999171038,0.999479808,0.992802062,0.999894089
81,0.991767092,0.992432349,0.998226857,0.999130668,0.998877273,0.995250081,0.998337516,0.998094666,0.982305157,0.99867713
82,0.999103169,0.99926152,0.99930721,0.999771043,0.999584893,0.998577212,0.999605153,0.999260777,0.992151613,0.999792824
83,0.999731719,0.999835711,0.999355744,0.999853258,0.999728396,0.997862876,0.999411782,0.998962843,0.990954692,0.99970774
84,0.998943035,0.998887701,0.999284699,0.999706839,0.99965931,0.997848805,0.999302945,0.998999688,0.988278104,0.999480927
85,0.999221075,0.998880467,0.999388016,0.998428019,0.999376959,0.997352961,0.998475481,0.99813637,0.990071133,0.998865951
86,0.999612674,0.999339586,0.999508557,0.995327454,0.999681224,0.998784169,0.99760253,0.996990532,0.991840736,0.99885586
87,0.999574253,0.99922346,0.999688618,0.999664327,0.999810466,0.998581245,0.999614388,0.999214086,0.994115979,0.999786314
88,0.999772006,0.999900256,0.999643966,0.999903999,0.99952937,0.999401277,0.99948566,0.999200893,0.993913893,0.999771442
89,0.999398195,0.998769225,0.999443305,0.999591897,0.999096345,0.996530146,0.999223464,0.998820619,0.986076585,0.999357881
90,0.999490474,0.999731006,0.999410373,0.999789875,0.999751098,0.998676271,0.99942772,0.999338214,0.989792193,0.999700933
91,0.999177517,0.997162802,0.99969839,0.999666462,0.999316564,0.997026736,0.999544383,0.999274785,0.990395563,0.999809785
92,0.99974454,0.999682462,0.999667272,0.999808106,0.999700887,0.998117669,0.999777784,0.999611051,0.989781768,0.99987308
93,0.995927198,0.991846369,0.996206094,0.998208624,0.99766059,0.992210147,0.993247194,0.99716118,0.982406291,0.994684747
94,0.996876148,0.996403773,0.997746517,0.998167088,0.998128473,0.994792001,0.996858558,0.996394256,0.983935154,0.996645443
95,0.997289781,0.997657855,0.9976905,0.998131363,0.998061717,0.996284977,0.996925182,0.995870875,0.984258573,0.997441116
96,0.977435756,0.984371499,0.985895189,0.988573064,0.98960463,0.978579509,0.984239883,0.985124438,0.95695331,0.982230458
97,0.974689686,0.97950725,0.969171474,0.956817706,0.962171611,0.973059583,0.979589415,0.981155411,0.951525211,0.979247917
98,0.957862031,0.963452459,0.950461019,0.807780885,0.748156179,0.939866663,0.959900544,0.948117286,0.910454589,0.958947026
99,0.939742237,0.894858006,0.925963341,0.880826075,0.84630985,0.909523223,0.927757524,0.851399119,0.867972529,0.948974606
100,0.895611418,0.653823437,0.875980807,0.87767146,0.849403002,0.849421602,0.858262973,0.623678842,0.786897695,0.92541877
101,0.887146038,0.695837267,0.852907916,0.874450639,0.872760057,0.813572849,0.733450971,0.580768126,0.754351144,0.906881588
102,0.860659098,0.654328899,0.831127921,0.870519454,0.859671231,0.77717393,0.596353269,0.559137609,0.708254296,0.893433934
103,0.875701433,0.676510632,0.817080868,0.882514215,0.869698148,0.769839087,0.63903904,0.567230784,0.695315663,0.902981491
104,0.866100713,0.685435929,0.827877705,0.880627611,0.875421185,0.781215452,0.64452164,0.588590492,0.704125256,0.902362597
105,0.908885544,0.796312309,0.849890062,0.898653669,0.890490059,0.816388282,0.662060048,0.670459589,0.730708693,0.913312254
106,0.896037476,0.782169642,0.855370269,0.904541004,0.89747144,0.806476304,0.704803696,0.702078988,0.727679994,0.918715784
107,0.89518621,0.778266181,0.847422545,0.905262026,0.895276502,0.803560503,0.725598085,0.722370091,0.72851772,0.90334739
108,0.893152318,0.783159513,0.859340317,0.902243322,0.898394581,0.826957412,0.73895464,0.734515857,0.732527459,0.904304134
109,0.9206321,0.816887087,0.878245371,0.915974666,0.920911832,0.83833586,0.758495982,0.752437827,0.752535167,0.922477206
110,0.921167132,0.818640967,0.875631314,0.917663254,0.929067093,0.83532947,0.768984162,0.755941869,0.738173914,0.919646882
111,0.914339666,0.80011238,0.883250077,0.91354796,0.917334967,0.835884969,0.769582033,0.766109874,0.741675688,0.918023601
112,0.912199767,0.832770226,0.892251631,0.921481866,0.923532482,0.845808819,0.786017144,0.772143372,0.76083319,0.923559506
113,0.90524526,0.819639443,0.879740838,0.914071579,0.923068092,0.84445252,0.796905578,0.768854397,0.746398242,0.917977648
114,0.919858651,0.819490094,0.883124235,0.923605438,0.915535642,0.863600827,0.813169583,0.795038741,0.749178612,0.920529478
115,0.921130368,0.828931777,0.882138437,0.918986793,0.925920155,0.850206309,0.797873499,0.78024021,0.742699797,0.919656252
116,0.930435783,0.829905086,0.890363813,0.931640066,0.92505622,0.853387151,0.815966493,0.789366111,0.759878725,0.925710268
117,0.931526688,0.834551244,0.903412385,0.935449826,0.933479783,0.867746569,0.826231214,0.806267064,0.764501364,0.93252882
118,0.936932824,0.83628939,0.898189202,0.93856884,0.936211084,0.868538473,0.842002642,0.823186489,0.780457392,0.936165988
119,0.941025279,0.835254702,0.913731801,0.934760339,0.942665289,0.879426862,0.846947636,0.828269097,0.788808434,0.939398776
120,0.920443897,0.847977951,0.881661363,0.933909574,0.926026324,0.859700767,0.848602836,0.838383605,0.787906493,0.922756777
121,0.921070327,0.848589818,0.901352613,0.926951427,0.933515359,0.863039032,0.831585518,0.815480781,0.76013612,0.924834412
122,0.945454228,0.87006639,0.907035694,0.94721546,0.950083497,0.87097546,0.847850127,0.841496409,0.783175262,0.936217894
123,0.944438958,0.855484904,0.90472618,0.939682978,0.943134275,0.865702232,0.851956952,0.84231625,0.780861368,0.937936524
124,0.94935775,0.890231779,0.918005239,0.951441215,0.952913469,0.890371178,0.869355269,0.860194702,0.809034742,0.947853909
125,0.945238136,0.86088699,0.91184826,0.955347429,0.94863121,0.885149879,0.873004213,0.865607866,0.801691833,0.951944154
126,0.930096835,0.855481535,0.895485433,0.935216428,0.925073531,0.86993019,0.856608007,0.84499384,0.78011545,0.930890808
127,0.939408834,0.866856176,0.906250573,0.942632979,0.930532599,0.88468375,0.882469869,0.867512826,0.807351317,0.93983548
128,0.939349399,0.856244519,0.900610513,0.945977983,0.940758313,0.877658035,0.873606128,0.86023538,0.793128306,0.93479529
129,0.940262772,0.864842128,0.907864123,0.952763804,0.948693569,0.884695851,0.864294072,0.864217843,0.796059836,0.941811702
130,0.93574557,0.869825583,0.909588532,0.940369223,0.951411263,0.882719666,0.881355219,0.86520357,0.797131011,0.935940445
131,0.953575909,0.887302156,0.916317794,0.944596178,0.951028313,0.893262525,0.888694581,0.881766195,0.809903853,0.942301265
132,0.947238769,0.883078395,0.917270478,0.947139657,0.955757331,0.88967105,0.883128625,0.88107196,0.790826495,0.945609994
133,0.940972928,0.889801926,0.904990352,0.949984151,0.949744311,0.885907836,0.886097106,0.877991641,0.800946006,0.9414153
134,0.94430718,0.886218387,0.916359864,0.950866677,0.948073501,0.891056671,0.885895762,0.88197008,0.80968469,0.93925269
135,0.932618061,0.861801144,0.898590653,0.941605717,0.93994629,0.875889236,0.879545554,0.87598231,0.795766886,0.93046344
136,0.957144618,0.890477784,0.925159005,0.947709706,0.950222901,0.898259719,0.900179874,0.895268516,0.816972671,0.947109133
137,0.95415822,0.886093301,0.918674806,0.951563894,0.956120547,0.896800164,0.902352115,0.897854731,0.809240173,0.948795729
138,0.95212433,0.893735219,0.923011012,0.957334746,0.957444155,0.898203194,0.906172472,0.900244439,0.822911975,0.949651498
139,0.947855361,0.888824659,0.917249868,0.948957629,0.953079086,0.894851576,0.888456119,0.882875835,0.791974889,0.94485535
140,0.946358196,0.876522691,0.914279359,0.945340864,0.950900072,0.892642773,0.895452042,0.887715476,0.80197778,0.9445838
141,0.949898086,0.885430812,0.916398816,0.95622833,0.955840946,0.898767326,0.910340541,0.894187397,0.828276936,0.951686096
142,0.938480046,0.894862758,0.917303022,0.948652681,0.947962874,0.88600995,0.89198871,0.883602162,0.803907672,0.941460722
143,0.956831019,0.90987663,0.933902733,0.964860931,0.966183959,0.907030432,0.904181344,0.901590869,0.81389291,0.955641849
144,0.942809245,0.892618679,0.907499206,0.949570575,0.948276624,0.880020849,0.888841195,0.884593946,0.801377927,0.941730694
145,0.956247339,0.917652672,0.930326947,0.966114385,0.964590033,0.913091727,0.910076552,0.909020981,0.830137296,0.955834093
146,0.95123106,0.894511808,0.923484595,0.960993126,0.957848268,0.897978012,0.905817445,0.898410551,0.806303316,0.949598701
147,0.943344922,0.899004221,0.919091188,0.947029503,0.942038566,0.897913984,0.895917092,0.893171118,0.814808864,0.943091246
148,0.956417286,0.899926871,0.934984948,0.955816214,0.956978454,0.912312007,0.915795267,0.911719283,0.818628994,0.95323636
149,0.957456849,0.906403935,0.918988042,0.951873455,0.957202382,0.91006501,0.912341984,0.906817245,0.824356896,0.954293316
