,LB,BOLE,MOOB,ARF,ARFre,VU-LB,SS-ARF,VU-ARFre,OALE,CALMID
228,0.997224098,0.998195159,0.964408468,0.98456276,0.990442673,0.997061521,0.973758576,0.975244843,0.937540947,0.999511846
229,0.999609942,0.999107499,0.972165491,0.985551263,0.989528157,0.997585138,0.974695924,0.98142506,0.939363931,0.999526577
230,0.999275909,0.998905758,0.976116336,0.987594516,0.989965324,0.997254007,0.977699205,0.978768763,0.948197118,0.999746277
231,0.99948538,0.998367214,0.96755437,0.986196648,0.990282395,0.997912622,0.974329062,0.978701425,0.939142894,0.999687643
232,0.999099826,0.999106703,0.974452557,0.98564072,0.990943078,0.99755922,0.975632976,0.981073404,0.942263644,0.999602012
233,0.99923069,0.998631545,0.97639434,0.988345881,0.993153528,0.996718028,0.977443063,0.980250188,0.949241085,0.999216805
234,0.999455725,0.999041149,0.971035397,0.985408752,0.987198604,0.996336702,0.974291447,0.977942548,0.946051352,0.999685178
235,0.999787085,0.999373002,0.979790605,0.990714554,0.993133716,0.998538625,0.982112675,0.983192902,0.952352051,0.999858801
236,0.99824815,0.998278919,0.97563508,0.985909394,0.989243656,0.99738809,0.979122697,0.983428976,0.94820926,0.999413901
237,0.998508716,0.999029902,0.969449734,0.983601756,0.986555718,0.996708277,0.973007133,0.97719263,0.943816755,0.999068424
238,0.99976697,0.998678169,0.976200185,0.986560994,0.992700786,0.998286424,0.979154132,0.986231816,0.949712926,0.999768385
239,0.998787822,0.998498721,0.969769348,0.985170553,0.990243665,0.996321381,0.972690141,0.972729556,0.946051173,0.999489629
240,0.999906258,0.999596754,0.982753817,0.989032048,0.994299262,0.997864706,0.982688404,0.983776238,0.956697125,0.999120092
241,0.999295668,0.999178989,0.97335607,0.989381317,0.989237658,0.997334497,0.981366425,0.980524722,0.946154466,0.99971294
242,0.998937743,0.997953541,0.970653787,0.98016184,0.986939599,0.995448801,0.97064952,0.972761835,0.937302181,0.998995633
243,0.999907827,0.999611208,0.980151679,0.991250733,0.99554504,0.999177267,0.980847959,0.985031094,0.953026595,0.999899815
244,0.998441715,0.999078748,0.97229161,0.986127519,0.991723376,0.995893414,0.977529773,0.97979481,0.946297823,0.999671192
245,0.999571826,0.998900836,0.973533987,0.98849897,0.991302303,0.997138202,0.975545381,0.978892054,0.948057096,0.999551179
246,0.999608741,0.999246943,0.973091182,0.990482153,0.991797246,0.997612084,0.979189436,0.982317733,0.950415653,0.99961573
247,0.999411029,0.998362704,0.968347575,0.982059198,0.986655202,0.995822228,0.969991986,0.969418723,0.943048043,0.999562258
248,0.999705267,0.999339987,0.979339891,0.990055594,0.993275664,0.998414035,0.982274587,0.984262587,0.954853822,0.999541547
249,0.999511171,0.999075477,0.981520732,0.988345599,0.993398697,0.998143279,0.981224434,0.980517565,0.954508034,0.999679527
250,0.99904472,0.998873248,0.971094501,0.984521482,0.992583115,0.996565184,0.975545462,0.978497193,0.943279287,0.999204982
251,0.998703291,0.999693678,0.978991328,0.991836007,0.9951935,0.998606821,0.982567786,0.984067173,0.946974143,0.999943222
252,0.998379866,0.99912172,0.98218734,0.992136353,0.991912277,0.998362902,0.982570634,0.983476501,0.953534476,0.999541192
253,0.997639295,0.999294107,0.971777733,0.985136531,0.989079186,0.997613558,0.9712391,0.978651391,0.940200532,0.999225118
254,0.999804947,0.999782413,0.980207065,0.991278412,0.990513273,0.998768245,0.981252545,0.983964233,0.95230467,0.999533667
255,0.999283539,0.998771783,0.971483498,0.986772124,0.989963888,0.997645314,0.973201614,0.98038391,0.939932613,0.999461286
256,0.999225643,0.999672585,0.976372878,0.990380718,0.991657169,0.997777487,0.980085692,0.982170402,0.950818786,0.999821927
257,0.998706268,0.997676885,0.980291123,0.992808395,0.99081632,0.996389097,0.983047574,0.984073397,0.950924593,0.997871084
258,0.999449825,0.999448263,0.983242654,0.991902315,0.993334073,0.99789889,0.9820481,0.987835327,0.959681007,0.999737655
259,0.999887663,0.999468063,0.970542092,0.988182212,0.990815184,0.99893386,0.972848048,0.979328139,0.938343703,0.999678131
260,0.997429224,0.999090881,0.982098649,0.991621783,0.994560247,0.997935459,0.979621185,0.984203946,0.956209658,0.99877493
261,0.999626809,0.999670085,0.979996075,0.992380299,0.993646496,0.997704673,0.981624467,0.983374257,0.956937588,0.999916677
262,0.999082396,0.997971189,0.984042137,0.989230549,0.993264217,0.997317659,0.982149156,0.981905053,0.960784373,0.999086345
263,0.99969106,0.999155759,0.976365126,0.989386019,0.993066482,0.996522179,0.979000923,0.982023015,0.947320935,0.999875221
264,0.999131437,0.996982866,0.980024913,0.989327723,0.990557213,0.997854303,0.977990211,0.98071392,0.952941792,0.999002966
265,0.997573091,0.999144709,0.980533601,0.988584796,0.993933087,0.997732978,0.976553709,0.982022309,0.943753816,0.999704044
266,0.999019857,0.998260253,0.972262593,0.989323956,0.990530064,0.997077736,0.974594293,0.980164276,0.939515342,0.998980991
267,0.998751234,0.999513334,0.978866962,0.991928401,0.99229388,0.998302459,0.981304755,0.983825997,0.95308574,0.999783851
268,0.99955846,0.998174463,0.977689371,0.990815814,0.992321623,0.99753545,0.979403331,0.978372179,0.946684111,0.999826493
269,0.998580134,0.997960298,0.975771614,0.989129726,0.991224248,0.997178143,0.97717544,0.981352982,0.948802635,0.999241642
270,0.999567255,0.999498432,0.973549821,0.985296774,0.991831531,0.99782867,0.974777268,0.977275955,0.942110298,0.999921667
271,0.999624345,0.99884237,0.978267819,0.985796685,0.989489681,0.998646709,0.974040251,0.975784126,0.944899957,0.999767461
272,0.999040998,0.998606438,0.980893164,0.992317841,0.992388308,0.998614899,0.982170538,0.984481015,0.955719068,0.999324874
273,0.999217451,0.998726457,0.98358887,0.992816603,0.993478025,0.998232115,0.982470176,0.983980462,0.955420865,0.999425079
274,0.999536948,0.999056324,0.970191038,0.984960466,0.988085895,0.997013811,0.971979283,0.975330787,0.942952048,0.999708306
275,0.999790962,0.999317631,0.980315245,0.992578737,0.993872927,0.998750125,0.981749486,0.982076275,0.948928744,0.999861367
276,0.999754318,0.998973317,0.968495858,0.984089936,0.985495115,0.999138755,0.97311276,0.97381117,0.941585393,0.999872149
277,0.998918724,0.999617875,0.98268467,0.991962647,0.995299589,0.99909997,0.983090262,0.988109099,0.950554766,0.999875986
278,0.999660049,0.99909422,0.977789777,0.989836718,0.993926193,0.99858126,0.984554647,0.984962532,0.954122789,0.999770223
279,0.998076455,0.99933122,0.979362766,0.992553919,0.993072385,0.998489424,0.980609245,0.981404548,0.950145764,0.999838009
280,0.999853875,0.999277952,0.97735961,0.9906852,0.991668702,0.998277126,0.980968335,0.985650056,0.950613983,0.999730228
281,0.999465768,0.998542325,0.982855155,0.991809543,0.993302973,0.998651444,0.982624713,0.984643713,0.951916697,0.999424603
282,0.999463656,0.999061757,0.976565003,0.986122345,0.989965382,0.997849446,0.973274514,0.977229054,0.940864365,0.999421398
283,0.99940293,0.999262579,0.98191195,0.992946459,0.992730611,0.998607409,0.981773161,0.986794998,0.953978243,0.999715677
284,0.998043299,0.998679277,0.974769959,0.990876409,0.991902918,0.996271754,0.978923993,0.979936348,0.943707421,0.998724974
285,0.999653153,0.999376678,0.984174362,0.992935247,0.994690524,0.999059917,0.983179615,0.985134711,0.952174695,0.999841928
286,0.999596711,0.999115673,0.985022393,0.994143708,0.995566663,0.998581721,0.987465853,0.99021584,0.960579672,0.999814581
287,0.998684002,0.998693268,0.980218122,0.992086209,0.993047251,0.99868386,0.983336578,0.985724862,0.952075844,0.999568643
288,0.998430507,0.999566432,0.970820138,0.990172672,0.992146114,0.998205473,0.977580591,0.983183069,0.944187712,0.999625612
289,0.998075749,0.998626457,0.981735146,0.991215371,0.993202093,0.998835698,0.977577437,0.983178592,0.951845993,0.999466129
290,0.998948516,0.999675027,0.983502714,0.992094649,0.995939672,0.998809496,0.985081556,0.985258158,0.958978814,0.999675039
291,0.998079142,0.999449068,0.983251916,0.992732377,0.990816734,0.998780593,0.981513896,0.986828341,0.952036116,0.99954777
292,0.999424268,0.998171918,0.976700508,0.992504788,0.992327227,0.998903362,0.979332517,0.984603759,0.943259988,0.999853819
293,0.999842925,0.999019745,0.980809785,0.991613741,0.993718877,0.998117339,0.981021838,0.981694718,0.95408418,0.999551392
294,0.999448012,0.99963962,0.981457222,0.992260698,0.991944069,0.999308165,0.982423065,0.983432938,0.956612855,0.999913878
295,0.999500159,0.999497865,0.978273502,0.99002535,0.993355595,0.99824031,0.98062329,0.982030858,0.950299948,0.999864696
296,0.999864963,0.999256159,0.979225359,0.989843214,0.994160652,0.99952975,0.981406453,0.984491309,0.951372208,0.999876039
297,0.999417177,0.998777149,0.985065856,0.992027425,0.995742329,0.998649103,0.984296371,0.987214549,0.956146011,0.99948664
298,0.998967345,0.999155836,0.977744646,0.9873108,0.991666019,0.998402963,0.980196156,0.980025335,0.944512085,0.999746956
299,0.99760663,0.998442066,0.981172362,0.990660644,0.994318474,0.998994527,0.982930803,0.986255674,0.954506103,0.999750016
