,LB,BOLE,MOOB,ARF,ARFre,RVU-LB,VU-ARF,VU-ARFre,OALE,CALMID
737,0.730442722,0.716652421,0.732009201,0.709545318,0.71315492,0.70974784,0.71515951,0.713741487,0.715865401,0.728678378
738,0.730765286,0.704239856,0.732962626,0.704735233,0.708603553,0.710879399,0.720328066,0.714305804,0.717063468,0.728747973
739,0.727036298,0.684985331,0.732838504,0.720729661,0.718994155,0.712701366,0.716028187,0.719205902,0.724862586,0.728069033
740,0.729462231,0.719232256,0.732379381,0.713742465,0.717763699,0.721336275,0.718983745,0.721758399,0.723813785,0.729976196
741,0.764592889,0.753925879,0.766398601,0.748864117,0.755145542,0.753568887,0.762732488,0.760657956,0.759429035,0.764559745
742,0.765195536,0.751822089,0.766244992,0.755901208,0.757394123,0.7527191,0.758853481,0.759043475,0.758049455,0.764396405
743,0.730801693,0.711563283,0.732967108,0.706513579,0.712738289,0.714163059,0.718853776,0.722503629,0.724572618,0.731616549
744,0.765866404,0.750556291,0.76646097,0.753153005,0.75139337,0.753229069,0.760074636,0.761233351,0.759157203,0.765219694
745,0.731125107,0.701572178,0.731844191,0.706546821,0.702851353,0.712895757,0.718820208,0.723315853,0.72024581,0.731179027
746,0.732104457,0.70992561,0.732379374,0.707787582,0.707466975,0.714880614,0.719810894,0.722430051,0.722661375,0.732324617
747,0.731688897,0.713075156,0.732754357,0.707323761,0.71081425,0.715473501,0.718479856,0.721891598,0.719330653,0.730975056
748,0.717958191,0.696431911,0.721494652,0.673334627,0.678613756,0.702566857,0.698938461,0.701975077,0.704588775,0.718740529
749,0.732504704,0.720641357,0.732686134,0.713760443,0.71157274,0.713646594,0.718691083,0.724117081,0.72351349,0.731577351
750,0.728831651,0.722841879,0.728662546,0.725266807,0.724312784,0.714997217,0.728484899,0.715172681,0.722338317,0.714385238
751,0.730419557,0.72146217,0.731983819,0.720249041,0.721871324,0.714154687,0.728703836,0.720048725,0.721731297,0.726830324
752,0.764266335,0.75202125,0.766335974,0.756310684,0.753558128,0.753558408,0.75957882,0.758916215,0.757181474,0.765568314
753,0.729951035,0.722268017,0.732157779,0.72859474,0.724059311,0.717236558,0.72949589,0.722542765,0.712339838,0.732415674
754,0.766190912,0.75387836,0.766535107,0.762601453,0.755001481,0.753581475,0.760483944,0.762048622,0.758769961,0.766280517
755,0.731572456,0.722013955,0.732638622,0.729693234,0.724630434,0.717489191,0.728191636,0.723024852,0.718086437,0.732564543
756,0.731052383,0.718250865,0.73236005,0.730655743,0.726374771,0.716272721,0.728308778,0.718909764,0.715505698,0.732319498
757,0.708280847,0.691328402,0.763936305,0.682540578,0.685067617,0.668076007,0.690792787,0.689429539,0.701489865,0.744946155
758,0.716057532,0.709224234,0.720358667,0.689993361,0.694370966,0.682777985,0.690291968,0.691828903,0.711872049,0.714538389
759,0.719199616,0.706297301,0.721542794,0.696605493,0.701381221,0.698394033,0.698567463,0.707133056,0.711469261,0.720142722
760,0.720241551,0.707547338,0.721859676,0.702998673,0.703655098,0.704172444,0.700771756,0.701012725,0.711791301,0.720458971
761,0.730126362,0.719441027,0.729631839,0.718805459,0.717395327,0.709615607,0.713463676,0.711475035,0.720492107,0.729574818
762,0.73163302,0.72033197,0.731798484,0.722715762,0.722612859,0.714151533,0.719270673,0.717230064,0.724553901,0.732183435
763,0.689173897,0.666150045,0.71241742,0.66603614,0.675483579,0.659521235,0.673404663,0.667338362,0.690328954,0.694085113
764,0.731684385,0.720544694,0.732878315,0.714342744,0.716961943,0.711805288,0.713178036,0.714948677,0.723442791,0.730016978
765,0.686053332,0.693064041,0.718783023,0.657443151,0.665174155,0.658286129,0.670339791,0.653451233,0.684749886,0.704609185
766,0.717637742,0.698915001,0.72159323,0.68728597,0.697070519,0.686845523,0.70190823,0.699685512,0.705342701,0.718428548
767,0.721608659,0.709455072,0.721456366,0.692612884,0.701670942,0.694064629,0.699915906,0.699912432,0.711403835,0.719933123
768,0.72188165,0.705969047,0.721532114,0.699517741,0.702862346,0.703663044,0.707045981,0.711142222,0.711159238,0.721331958
769,0.731560752,0.716344113,0.731311237,0.711213257,0.714201891,0.709098625,0.716329305,0.710993872,0.720065429,0.731760371
770,0.731211192,0.717888185,0.732331089,0.713017693,0.714389198,0.713721319,0.719102475,0.720317413,0.720433588,0.732055531
771,0.731358898,0.715300368,0.732254127,0.711839272,0.710545561,0.71150204,0.715489664,0.713351617,0.720186326,0.731166599
772,0.733060893,0.71591627,0.732759182,0.710675736,0.709653079,0.713379309,0.718907744,0.716136542,0.71981484,0.73142006
