,LB,BOLE,MOOB,ARF,ARFre,RVU-LB,SS-ARF,FU-ARFre,OALE,CALMID
267,0.986348219,0.983593021,0.94953331,0.97856769,0.980581663,0.968518847,0.957213502,0.968610647,0.973624659,0.978340002
268,0.987998771,0.980828716,0.950414502,0.982966334,0.983961169,0.980197888,0.964771288,0.963514381,0.979385914,0.988234776
269,0.983853012,0.968667012,0.952689723,0.979894601,0.985335924,0.978533799,0.960202131,0.963246645,0.978523801,0.986232869
270,0.986123204,0.950502232,0.959196203,0.974385809,0.974433668,0.976671733,0.961750819,0.963486997,0.972960864,0.984892246
271,0.986251535,0.966359339,0.96755922,0.97873969,0.987857773,0.976341555,0.959147427,0.964409076,0.969059573,0.983817227
272,0.98521694,0.94588846,0.966325285,0.986429793,0.986777722,0.973997298,0.960293884,0.967894909,0.965938114,0.98288726
273,0.982610884,0.976485373,0.969995468,0.979170983,0.981521579,0.968675098,0.964454446,0.97154531,0.965416974,0.982579914
274,0.986676962,0.972633643,0.969063328,0.979771455,0.978813357,0.971178841,0.959758999,0.971118996,0.961748419,0.982220371
275,0.993896672,0.978132256,0.974592757,0.985909784,0.988631072,0.982892166,0.972789936,0.98166879,0.980174315,0.991452899
276,0.971843112,0.957611271,0.967604344,0.975797433,0.973119099,0.971039581,0.959957668,0.970479775,0.962790338,0.976086372
277,0.979572188,0.923397486,0.967591014,0.985330962,0.965315495,0.96922011,0.963187245,0.967886075,0.960566156,0.982250773
278,0.985940811,0.919865618,0.978747506,0.987390487,0.977318369,0.975126455,0.96857319,0.972780329,0.965629855,0.986036418
279,0.983537254,0.945472019,0.974806016,0.984096606,0.979986728,0.973735041,0.970619284,0.96764097,0.965627799,0.985241656
280,0.985482934,0.924608517,0.985227928,0.983835623,0.975045545,0.980556711,0.975766839,0.974133762,0.973785715,0.992472224
281,0.978696883,0.930800414,0.979022244,0.985909485,0.977828286,0.97623987,0.972129516,0.972695994,0.966527341,0.989038534
282,0.973161498,0.943953372,0.974810488,0.966457708,0.985745601,0.971847873,0.968609709,0.979321614,0.967438404,0.985098568
283,0.976296325,0.925637893,0.973645437,0.979929741,0.984952264,0.9721033,0.969128394,0.974555907,0.970478792,0.989025262
284,0.983802653,0.931382542,0.980062405,0.988336864,0.985007515,0.978363599,0.976104755,0.974479122,0.978173325,0.991089886
285,0.983293306,0.907302267,0.971872873,0.988353321,0.981893532,0.977608297,0.979781521,0.979496417,0.966362914,0.988214554
286,0.980399464,0.889978625,0.97391503,0.981648647,0.973973522,0.964213719,0.96851809,0.964655901,0.967395654,0.987345078
287,0.984167385,0.962894984,0.975832411,0.983641939,0.957964046,0.97423545,0.969523739,0.970200048,0.972497286,0.988842422
288,0.842920638,0.793740552,0.841006991,0.847263916,0.841923465,0.834430849,0.824639221,0.833015276,0.827315824,0.84533
289,0.835906765,0.774405056,0.827850293,0.832306196,0.830274873,0.831342169,0.818223432,0.819763265,0.825708644,0.838695083
290,0.963326778,0.934750112,0.962261649,0.97900479,0.959645457,0.961730075,0.947686907,0.943741782,0.954701426,0.977840389
291,0.982876317,0.965472509,0.971067589,0.982474402,0.982714217,0.968438346,0.962492686,0.928633837,0.968947164,0.986005567
292,0.978377896,0.970146984,0.967929723,0.983247446,0.985677272,0.962534443,0.971282383,0.948879102,0.962194786,0.973819629
293,0.94800486,0.892902888,0.946279381,0.933127643,0.941068613,0.935146584,0.948141245,0.934485303,0.949031662,0.958226924
294,0.933947369,0.918842629,0.977535807,0.986484354,0.980008334,0.974596585,0.962575275,0.974307952,0.973154086,0.985479225
295,0.835783056,0.819979395,0.835238308,0.840917434,0.841815986,0.832735371,0.824677978,0.823708774,0.832974026,0.841261088
296,0.839429125,0.820242132,0.81639699,0.836857539,0.83036528,0.824654777,0.824033776,0.812938004,0.824170498,0.836322206
297,0.840145511,0.804190097,0.834515334,0.842881926,0.83456786,0.827109142,0.827786877,0.833215692,0.835882063,0.844635857
298,0.814539544,0.802669207,0.846243422,0.840404962,0.827144432,0.841337357,0.833263882,0.840837197,0.843732166,0.851329629
299,0.829200309,0.800851619,0.823889825,0.829999429,0.842020781,0.831982523,0.824576693,0.807271349,0.812144904,0.844013047
300,0.851592227,0.803229737,0.841877394,0.846929234,0.84581869,0.835317459,0.83456237,0.829040127,0.842253255,0.850461495
301,0.758697164,0.741542375,0.754102261,0.757077332,0.756769465,0.749086948,0.750779115,0.753431383,0.754658188,0.758300902
302,0.759055392,0.748353189,0.743318396,0.753719617,0.754035042,0.732187058,0.742964265,0.7260039,0.742608032,0.753395193
303,0.712140993,0.70822116,0.709817714,0.713575668,0.712750624,0.708052785,0.711398715,0.711704903,0.711776338,0.712980257
304,0.712506842,0.709967364,0.708570881,0.713074632,0.713096166,0.707522334,0.711607541,0.711455491,0.711270373,0.712288668
305,0.827625235,0.754555746,0.827739252,0.814569027,0.78461056,0.803471481,0.808942611,0.785301878,0.82336562,0.809054527
306,0.840005382,0.77010077,0.829973661,0.831908432,0.837864606,0.83492192,0.822671172,0.823864611,0.833292694,0.831071758
307,0.82574082,0.760596644,0.83576631,0.831113306,0.830129212,0.82745685,0.820359034,0.811160296,0.823131885,0.839731355
308,0.755113409,0.748370902,0.746012827,0.757055201,0.756564076,0.73609347,0.741262522,0.738639555,0.742145917,0.751958494
