,LB,BOLE,MOOB,ARF,ARFre,SS-LB,FU-ARF,FU-ARFre,OALE,CALMID
361,0.994500726,0.98921327,0.987094847,0.982213897,0.982202679,0.989506926,0.983476439,0.981557465,0.981420703,0.994646197
362,0.990423145,0.987928425,0.987532499,0.982779444,0.984139967,0.988350506,0.981327516,0.981292024,0.979787067,0.993075423
363,0.986177824,0.984561611,0.982702194,0.960781647,0.973026144,0.982357095,0.971335026,0.968253189,0.97437376,0.990192847
364,0.990095685,0.983414197,0.985316138,0.981424161,0.974769386,0.983413964,0.974042805,0.974109024,0.973289666,0.990208731
365,0.993197678,0.985610362,0.986433235,0.980869165,0.980686925,0.985654387,0.976495121,0.975605889,0.975688503,0.992804644
366,0.994085688,0.986297748,0.988970886,0.984574102,0.984346343,0.986368596,0.980980873,0.984069205,0.978561531,0.992693793
367,0.991896919,0.986631214,0.982555175,0.976154715,0.979299889,0.986693442,0.976414633,0.976217272,0.975746423,0.992004658
368,0.988986841,0.982070529,0.983255504,0.980547389,0.981881889,0.984672823,0.972079371,0.973658927,0.967891737,0.991183863
369,0.995207204,0.990919063,0.991156493,0.984906575,0.983492494,0.990132638,0.983733562,0.98217758,0.981247158,0.994845764
370,0.992647034,0.986146492,0.987466899,0.98201587,0.976654572,0.984749819,0.975195223,0.978013025,0.977525925,0.991061816
371,0.993602473,0.990196097,0.991201146,0.98528644,0.984157158,0.989870219,0.982623405,0.986683597,0.979419227,0.994833339
372,0.992696219,0.985604016,0.991930209,0.983702245,0.985698435,0.985519785,0.981154017,0.977705695,0.976409144,0.992841427
373,0.991197891,0.984624119,0.987491967,0.979261187,0.979802427,0.98616949,0.978244856,0.981132771,0.973226034,0.992468657
374,0.993675132,0.988321505,0.993527474,0.981111151,0.986058561,0.987367154,0.982302356,0.979214072,0.975130841,0.993936066
375,0.991796344,0.985017135,0.991816413,0.984218318,0.983272247,0.984074019,0.97937813,0.982196951,0.971992589,0.991453266
376,0.990418224,0.984855295,0.992277853,0.987052566,0.984185925,0.983290261,0.981862218,0.983140465,0.973704637,0.991454257
377,0.995165728,0.984921721,0.993200051,0.985804207,0.983953534,0.987297252,0.979211805,0.979360402,0.972706697,0.992097958
378,0.99411552,0.990358476,0.997091764,0.993260583,0.992809065,0.989067176,0.988287005,0.990719655,0.984530587,0.9962365
379,0.99653794,0.989776025,0.997075084,0.988516021,0.990330023,0.989901881,0.985483808,0.984275599,0.98272329,0.996029525
380,0.994893051,0.991721085,0.996311777,0.993166945,0.992644685,0.99077194,0.990150682,0.987801486,0.986438698,0.996605542
381,0.995614881,0.994299987,0.997645067,0.994323495,0.993262332,0.992034467,0.990903806,0.986891607,0.983653568,0.996518883
382,0.996433349,0.995369554,0.995644707,0.996367943,0.993637037,0.994833904,0.992531458,0.993306617,0.986938928,0.997453421
383,0.998379949,0.994615005,0.99732417,0.996407426,0.996694992,0.995166281,0.995888831,0.99592357,0.99061736,0.997284169
384,0.996585651,0.995414555,0.996628839,0.993224904,0.993720346,0.993770742,0.991598471,0.992189043,0.987288491,0.99722604
385,0.998744758,0.995655669,0.999004045,0.996963494,0.99861608,0.996194148,0.995481529,0.994522996,0.986164748,0.999117396
386,0.993621691,0.996204503,0.997888357,0.996811201,0.997651241,0.995394978,0.996089083,0.991720174,0.988497831,0.997953351
387,0.99694696,0.99158555,0.997711709,0.99254593,0.993041757,0.993469946,0.991501532,0.989348514,0.982925106,0.997159441
388,0.990947883,0.99140567,0.996393894,0.99502447,0.995897329,0.991756668,0.991282763,0.989673753,0.985865414,0.994922194
389,0.995508418,0.994359541,0.997070097,0.995234471,0.996606863,0.99525136,0.994632769,0.991420306,0.986943576,0.997101529
390,0.996833029,0.994744894,0.997638077,0.994999356,0.996763959,0.992765058,0.992808325,0.994877113,0.987882774,0.996413044
391,0.99625736,0.996881083,0.997151055,0.996357562,0.998236924,0.995370315,0.995548089,0.995972943,0.987800587,0.998233181
392,0.998685081,0.997014156,0.997774496,0.997846349,0.997682648,0.996399465,0.996427431,0.995573197,0.989343109,0.998660295
393,0.997249651,0.997061407,0.998302242,0.997334428,0.997611623,0.996333469,0.996132837,0.9963891,0.986089295,0.998613887
394,0.99682697,0.99493603,0.998245243,0.993156992,0.997773366,0.994462726,0.993603464,0.989976986,0.989173392,0.9963611
395,0.997943452,0.995500182,0.998057096,0.997141279,0.997243814,0.993933899,0.993427086,0.992927445,0.986655401,0.998252355
396,0.997184975,0.996955037,0.99807622,0.997881714,0.998377051,0.997329018,0.997682542,0.997887277,0.990979374,0.999099219
397,0.993575482,0.993821363,0.993052783,0.990055782,0.993635614,0.99288887,0.990892395,0.99024012,0.974639469,0.995091827
398,0.997907208,0.996281494,0.998489982,0.998152795,0.999188862,0.996807508,0.996993493,0.996276809,0.988412685,0.999143144
399,0.995927168,0.996493812,0.998972148,0.997066277,0.997807651,0.996522733,0.996319417,0.99549074,0.988503563,0.998616554
