,LB,BOLE,MOOB,ARF,ARFre,VU-LB,FU-ARF,FU-ARFre,OALE,CALMID
74,0.637979939,0.615603849,0.654805309,0.624838927,0.636013876,0.62202228,0.626308405,0.621049248,0.660103302,0.659785962
75,0.802917393,0.759480128,0.775039035,0.780561552,0.791565989,0.779362582,0.787661311,0.755396248,0.742751573,0.82386588
76,0.819478691,0.786702184,0.761783905,0.795808802,0.795595122,0.781045098,0.77521672,0.743587133,0.797480792,0.834973714
77,0.661288208,0.642066012,0.650979723,0.654498808,0.648057136,0.65165138,0.648059012,0.622259362,0.668442477,0.682579851
78,0.665441478,0.63039999,0.651957756,0.649352595,0.640063329,0.644009161,0.648307661,0.63322186,0.659151375,0.681231586
79,0.671699177,0.635734467,0.663492004,0.652385341,0.640717015,0.651723101,0.643921337,0.631485176,0.670631023,0.686028695
80,0.662365223,0.625859927,0.6588393,0.646998283,0.638171295,0.648498236,0.638131326,0.622267991,0.665226604,0.687524839
81,0.655437861,0.624621586,0.650810581,0.651737188,0.646363757,0.638139972,0.645977307,0.638270906,0.659805141,0.686897893
82,0.663984677,0.637035897,0.655235403,0.654665845,0.653889076,0.654711346,0.640160538,0.634566176,0.670377688,0.692982001
83,0.667781786,0.634667337,0.654447687,0.664186873,0.664056447,0.654156806,0.646132998,0.640067536,0.668591642,0.690511295
84,0.660689477,0.630566326,0.657503509,0.661311479,0.66383256,0.648790719,0.642438574,0.640886657,0.663698661,0.68881322
85,0.670616429,0.634197716,0.656243306,0.663298238,0.667287919,0.651237931,0.638065048,0.635749479,0.669423703,0.686005551
86,0.679160208,0.639572632,0.657963825,0.666191575,0.660370525,0.649882944,0.640151627,0.627287035,0.665951676,0.685999376
87,0.670876254,0.631221963,0.653763616,0.660069134,0.657987363,0.647060302,0.6365811,0.626480585,0.663436145,0.689342571
88,0.653062017,0.579608985,0.647341058,0.68030231,0.616629294,0.644285637,0.608784388,0.569968031,0.741605949,0.690248699
89,0.814424167,0.698403604,0.667761308,0.742235895,0.735442983,0.69055585,0.582879275,0.582095326,0.791674623,0.721175104
90,0.813089912,0.765217056,0.684914059,0.772685302,0.723932042,0.758433231,0.611580936,0.619822972,0.809429268,0.77571457
91,0.851090727,0.810067366,0.732953266,0.820932935,0.77683783,0.799401348,0.63756606,0.638493064,0.827438607,0.807018652
92,0.658017381,0.624321545,0.669837218,0.647075756,0.62382427,0.646144261,0.646683006,0.631965709,0.660161442,0.686081298
93,0.64665548,0.623814976,0.663345192,0.637174814,0.618890063,0.646470328,0.611669728,0.613201968,0.656994933,0.682001068
94,0.736986458,0.63781457,0.778848632,0.620918868,0.590966943,0.666556704,0.595796665,0.557402808,0.719500402,0.706285308
95,0.826843162,0.713458401,0.754956638,0.682833994,0.696024894,0.772289903,0.688747405,0.706128804,0.772375031,0.811123171
96,0.686350827,0.652604245,0.689381955,0.659029957,0.651415415,0.681018126,0.624419802,0.631223808,0.673373866,0.704367215
97,0.633124171,0.605811587,0.65512134,0.628796616,0.620417475,0.620963279,0.60982384,0.621375277,0.634931479,0.658909443
98,0.66629935,0.628280221,0.651595097,0.651351657,0.64388392,0.635026043,0.619954863,0.630108407,0.652095832,0.678660327
99,0.663811472,0.615938895,0.652346032,0.661958246,0.651393819,0.649084523,0.645260261,0.643824503,0.658961244,0.687890108
