,LB,BOLE,MOOB,ARF,ARFre,SS-LB,RVU-ARF,VU-ARFre,OALE,CALMID
120,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
121,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
122,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
123,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
124,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
125,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
126,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
127,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
128,0.881422925,0.881363366,0.881422925,0.881419766,0.881419315,0.881420555,0.881399631,0.881406681,0.880974403,0.881341075
129,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
130,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
131,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
132,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
133,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
134,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
135,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
136,0.881422925,0.881395991,0.881422925,0.881397796,0.881413285,0.881404581,0.881297066,0.881353993,0.881421208,0.881422891
137,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
138,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
139,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
140,0.816967891,0.816411401,0.816948657,0.818300491,0.819694882,0.816803897,0.817090652,0.816901421,0.819832209,0.81917923
141,0.791617632,0.792441947,0.790932473,0.793901768,0.79506004,0.787439113,0.787768186,0.784418455,0.793794321,0.789890736
142,0.879842605,0.845101899,0.879353469,0.840734682,0.840053922,0.855894885,0.842763952,0.845775725,0.846218865,0.845929008
143,0.849671765,0.849530103,0.849629872,0.849439186,0.849316101,0.849373014,0.849103173,0.849274577,0.849587238,0.849608929
144,0.881356024,0.881366997,0.881227965,0.881333856,0.881351006,0.881240835,0.88123961,0.881268951,0.881354166,0.8812035
145,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
146,0.916971394,0.916141118,0.916973114,0.915452699,0.916206878,0.916843715,0.915901655,0.916064741,0.916918408,0.916929034
147,0.814143921,0.816363125,0.818333382,0.815793416,0.817137224,0.814763116,0.813599793,0.812160449,0.8162842,0.81737766
148,0.808204475,0.799491835,0.841721615,0.811296658,0.812856769,0.842058343,0.811183088,0.80617814,0.811135765,0.812417789
149,0.819071576,0.821668781,0.81902659,0.821949694,0.821927763,0.817727173,0.820465138,0.819650641,0.819084072,0.81930992
150,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
151,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
152,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
153,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
154,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
155,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
156,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
157,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
158,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
159,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
160,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
161,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
162,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
163,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
164,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
165,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
166,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
167,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
168,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
169,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
170,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
171,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
172,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
173,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
174,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
175,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
176,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
177,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
178,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
179,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739,0.956521739
