,LB,BOLE,MOOB,ARF,ARFre,VU-LB,VU-ARF,VU-ARFre,OALE,CALMID
44,0.999603355,0.997544798,0.996779424,0.999178078,0.999334078,0.998245408,0.998846305,0.998360843,0.988684115,0.999038433
45,0.999484078,0.998785598,0.998972487,0.999568434,0.999080237,0.998366012,0.998599663,0.998006814,0.990517132,0.998961305
46,0.998221888,0.997291332,0.997365964,0.999325613,0.99931134,0.997416189,0.998991267,0.999538417,0.987958377,0.999295031
47,0.998767105,0.997927967,0.997770037,0.998593981,0.998047633,0.997718156,0.997462557,0.997682493,0.992064379,0.998509557
48,0.996996497,0.997670847,0.997889647,0.999080365,0.998953416,0.996824811,0.99710882,0.997270232,0.98427602,0.998576598
49,0.999683431,0.999440823,0.996233,0.999386169,0.999445732,0.997585664,0.999060744,0.999211347,0.992417183,0.999239559
50,0.999765545,0.999274613,0.996356584,0.999723993,0.999684701,0.998967136,0.999298239,0.999277982,0.989286816,0.999706374
51,0.999396179,0.998973142,0.99820345,0.999327654,0.998972829,0.997396656,0.998863433,0.998453134,0.987317629,0.998688416
52,0.999697859,0.998803713,0.998041636,0.998961953,0.998926493,0.998985898,0.998688636,0.998492372,0.989820569,0.999069106
53,0.998839469,0.997876887,0.998049113,0.999368627,0.999227038,0.996927936,0.997714206,0.998397761,0.987836117,0.998655119
54,0.998871974,0.999044278,0.997856822,0.999303664,0.999245281,0.998543891,0.998813449,0.999030743,0.988799487,0.999364751
55,0.999520032,0.999303698,0.998976321,0.999691467,0.999752889,0.998746817,0.999410434,0.999435506,0.989885024,0.99958888
56,0.999204775,0.998901276,0.998758855,0.9985141,0.99926748,0.998076637,0.998599104,0.99883551,0.98886308,0.999310487
57,0.999555235,0.998811645,0.998557967,0.999309442,0.998797568,0.998720087,0.998790876,0.998561527,0.988179525,0.999385753
58,0.999152834,0.997773146,0.997386511,0.999652365,0.999289958,0.996682142,0.999060885,0.999099056,0.987111239,0.998370852
59,0.999792324,0.99947728,0.997758014,0.998456136,0.999470696,0.998654362,0.998699709,0.999238433,0.992714007,0.999671026
60,0.999507524,0.999112362,0.998217358,0.999444236,0.999620372,0.998356914,0.998908104,0.999277531,0.992514593,0.999435196
61,0.99769549,0.998055609,0.997323797,0.999376237,0.998265029,0.998407715,0.998616792,0.997890137,0.990774517,0.998382412
62,0.999698089,0.999292522,0.999449683,0.999863142,0.999841833,0.998956003,0.999119686,0.998237832,0.992793762,0.999440789
63,0.998677871,0.998679181,0.999186471,0.99934365,0.996072735,0.99899588,0.998888151,0.99826947,0.989309482,0.999535602
64,0.999369613,0.999280589,0.999398423,0.999648404,0.999489421,0.999192093,0.99928339,0.999292202,0.990359934,0.999554676
65,0.997645307,0.999357591,0.999707149,0.99987782,0.999764247,0.999020244,0.999555046,0.999455432,0.993257208,0.999772605
66,0.998726119,0.99848848,0.998953255,0.997746312,0.999111224,0.997599772,0.998431424,0.999218337,0.991580325,0.999013569
67,0.999831273,0.999168876,0.999483324,0.998872907,0.997047259,0.999370906,0.998536035,0.99929959,0.99158993,0.999791127
68,0.999529528,0.998756164,0.999131998,0.999695835,0.99879479,0.99869719,0.998944779,0.998719821,0.987904298,0.999463606
69,0.997825926,0.998119382,0.998497618,0.999531863,0.999517171,0.997932056,0.999068256,0.998228038,0.991945522,0.999473377
70,0.993777176,0.998127825,0.998448278,0.999205119,0.996889074,0.99625611,0.998414865,0.999165111,0.987580801,0.997964556
71,0.999812203,0.997713773,0.99937246,0.999161441,0.999704967,0.998556134,0.999318388,0.995877374,0.989461485,0.999475445
72,0.999881272,0.999383991,0.999565917,0.9996663,0.999722109,0.99858889,0.999253992,0.999606897,0.989243097,0.999507931
73,0.999537159,0.997978927,0.999027539,0.99946409,0.999177616,0.997704391,0.998215155,0.99656899,0.987793961,0.998856719
74,0.999830157,0.999421987,0.999574504,0.99972247,0.999649602,0.999268905,0.9994507,0.999105654,0.993882028,0.999751707
75,0.999297224,0.999513804,0.998073936,0.9992734,0.999419408,0.99877334,0.998994892,0.999386964,0.991884385,0.998746714
76,0.999781963,0.998872426,0.998124297,0.999639171,0.999728732,0.997744085,0.998942834,0.999213995,0.991209578,0.999247556
77,0.99964508,0.999327719,0.999261737,0.999640736,0.999576576,0.997979882,0.999055205,0.999165943,0.988781895,0.99929202
78,0.999818102,0.998863196,0.999686962,0.999282318,0.999827768,0.99944552,0.999690281,0.999558919,0.992510035,0.999815143
79,0.999877889,0.999349631,0.998880597,0.999804834,0.999498252,0.999733687,0.999678259,0.999678122,0.991967554,0.999816213
80,0.999183004,0.998090825,0.999035368,0.999537494,0.999722836,0.99732526,0.998596535,0.998723341,0.989006353,0.998976372
81,0.999662026,0.999718891,0.999649767,0.999784077,0.999802532,0.99883079,0.999309931,0.999331582,0.991820428,0.999644471
