,LB,BOLE,MOOB,ARF,ARFre,VU-LB,FU-ARF,FU-ARFre,OALE,CALMID
271,0.990111716,0.965724195,0.972148381,0.985700125,0.982557234,0.978114075,0.971599199,0.968752042,0.961146429,0.986178468
272,0.98933484,0.969245457,0.983935702,0.986200298,0.988116427,0.981736674,0.974429665,0.966585096,0.961192219,0.988530007
273,0.979654266,0.956860586,0.9668245,0.97344093,0.97457483,0.969166979,0.958041059,0.956103906,0.949287857,0.980115518
274,0.955080571,0.921799932,0.934156477,0.822362526,0.847628177,0.945536477,0.931711229,0.923520625,0.920967438,0.960262426
275,0.946832181,0.895210956,0.912940468,0.809801383,0.795011731,0.927082613,0.908702552,0.913664672,0.908909916,0.948033129
276,0.945440853,0.851065566,0.913851817,0.859539127,0.872718054,0.935009034,0.906308434,0.907672206,0.919877194,0.948703421
277,0.924193953,0.832434567,0.896454075,0.88434269,0.877943825,0.907324518,0.875842539,0.855825954,0.897860922,0.926992308
278,0.93157481,0.864175364,0.89792338,0.896054138,0.90266874,0.929788617,0.881578526,0.872856066,0.903147153,0.937354461
279,0.94019268,0.881485409,0.909519409,0.905209072,0.921387492,0.923150654,0.875973585,0.875887723,0.900510782,0.939397827
280,0.936822765,0.862292731,0.894495185,0.909470862,0.918259998,0.916254516,0.880778153,0.868786907,0.894682068,0.932995942
281,0.932740012,0.869544306,0.900518458,0.900025033,0.917468672,0.924996355,0.885377475,0.87691127,0.900852257,0.935231237
282,0.939741335,0.848588255,0.897990279,0.927341492,0.928767862,0.926788785,0.893598036,0.898381505,0.905790861,0.941630246
283,0.938456202,0.852050514,0.913354261,0.921389732,0.927915642,0.923134588,0.8909118,0.878349001,0.900975647,0.935766207
284,0.951417596,0.867802034,0.93340098,0.935557847,0.938022539,0.935720133,0.907665273,0.897745938,0.917334407,0.95058057
285,0.948747709,0.869196429,0.932307209,0.934467887,0.928479542,0.9249421,0.892386313,0.881265196,0.913842872,0.946803193
286,0.968054676,0.929424666,0.959134178,0.958491306,0.957102001,0.941309469,0.910538618,0.907430933,0.940229276,0.962761249
287,0.981389437,0.930938251,0.970670557,0.972144048,0.966504872,0.956643841,0.936912288,0.932761735,0.950680938,0.975300896
288,0.98424418,0.946135866,0.985930808,0.984366822,0.985412659,0.976175214,0.962301479,0.958245618,0.969393571,0.98712603
289,0.992138449,0.94641217,0.989753055,0.983644592,0.987653759,0.97971181,0.969126413,0.966221891,0.967975238,0.988887704
290,0.990448047,0.963641642,0.994038354,0.989489126,0.990157765,0.983284679,0.97658288,0.977761138,0.98130246,0.991922272
291,0.991886552,0.960980565,0.993454887,0.989760898,0.990408666,0.984408513,0.979158352,0.975522348,0.968506446,0.992734779
292,0.99181159,0.945354043,0.992270765,0.985794382,0.984137229,0.983459994,0.973943336,0.964909379,0.968440632,0.992649593
293,0.992413082,0.943901089,0.986143015,0.986359176,0.984906224,0.981613499,0.97251347,0.971116718,0.96957448,0.991528718
