,LB,BOLE,MOOB,ARF,ARFre,VU-LB,FU-ARF,SS-ARFre,OALE,CALMID
97,0.983006944,0.984725313,0.986879235,0.956826572,0.98041096,0.972423411,0.984299317,0.982358399,0.956833335,0.981319633
98,0.963412592,0.969271749,0.964737265,0.841454327,0.797164243,0.947032348,0.964941432,0.955795292,0.92177014,0.963416018
99,0.910633199,0.897788263,0.932075261,0.898062087,0.866569956,0.90400936,0.920922476,0.797982239,0.883326074,0.931175052
100,0.855850861,0.769866311,0.866326506,0.84474862,0.836486344,0.839754695,0.818406174,0.599781339,0.843063299,0.889502371
101,0.789701086,0.780585647,0.79754077,0.803405296,0.809948778,0.77423361,0.660568091,0.566676073,0.788674737,0.844959782
102,0.748258232,0.771785758,0.70762376,0.715404961,0.758880883,0.732537244,0.58465057,0.549950075,0.751379952,0.802455315
103,0.821476984,0.822252211,0.71101547,0.785769478,0.773225074,0.764691412,0.64055083,0.542213033,0.77783762,0.852386269
104,0.862236887,0.875709015,0.71776514,0.814367308,0.814877592,0.784398567,0.693916195,0.597224321,0.799103621,0.88098325
105,0.915559384,0.894848917,0.75988763,0.841673429,0.860182867,0.814103804,0.747028794,0.733595179,0.824606769,0.895874127
106,0.947920108,0.933430103,0.770991226,0.868557766,0.868687856,0.83485608,0.799862072,0.793576326,0.836697234,0.931160117
107,0.95481578,0.953424238,0.797470989,0.893867367,0.888965496,0.86485519,0.828146894,0.824055161,0.865025772,0.936234078
108,0.949015572,0.95001963,0.817671813,0.904989205,0.901638197,0.858736298,0.808368322,0.82624745,0.870020302,0.926440251
109,0.953788738,0.95284281,0.826987799,0.908028503,0.905659158,0.856531723,0.834888207,0.846967173,0.873698411,0.930775929
110,0.956608166,0.957747235,0.860020151,0.912439073,0.913558753,0.865249641,0.836520069,0.855578935,0.888837784,0.950701609
111,0.965791654,0.969401223,0.89110431,0.947559062,0.945103604,0.892827463,0.884970732,0.888463497,0.908867517,0.957727472
112,0.972464401,0.968690064,0.886406126,0.946679605,0.936259402,0.901378183,0.890775934,0.893133052,0.916096305,0.962980245
113,0.975703138,0.968409174,0.902784889,0.947531169,0.950120089,0.918788933,0.90454345,0.909174992,0.914325729,0.971196884
114,0.977491957,0.97498942,0.911985813,0.953725485,0.952631706,0.935524774,0.917556546,0.91896185,0.923339491,0.969693057
115,0.977675625,0.980057082,0.903982984,0.963103362,0.958038612,0.94209811,0.922772858,0.920854253,0.928221025,0.971915414
116,0.980868866,0.981953454,0.915003428,0.959553146,0.957434169,0.952556148,0.917515427,0.915861636,0.930757314,0.977877107
117,0.983015508,0.980650667,0.91344968,0.94904543,0.958667402,0.942669883,0.919406021,0.913761736,0.920970613,0.976318109
118,0.983764102,0.978396699,0.927396591,0.963682384,0.967542127,0.95292805,0.929316894,0.927532957,0.934828456,0.979739157
119,0.976903516,0.977421209,0.919804464,0.971798654,0.964369157,0.945355878,0.931325577,0.925206785,0.935204684,0.97741264
120,0.983323669,0.979822214,0.928870034,0.961371137,0.959285309,0.946359036,0.921347511,0.926402142,0.939988506,0.984500673
121,0.981074226,0.981094857,0.924056964,0.958211478,0.962527299,0.947690525,0.913494806,0.91577509,0.92066407,0.981613179
122,0.983065152,0.979056658,0.927466691,0.969086531,0.972124486,0.943496177,0.931429635,0.931421056,0.927336609,0.980085684
123,0.981178097,0.97555408,0.936698344,0.962625443,0.963901361,0.944127119,0.927948275,0.92722209,0.932278224,0.980719648
124,0.979789102,0.980878289,0.930350646,0.959251414,0.965480568,0.940347184,0.9184737,0.925343989,0.924588476,0.983100385
125,0.981273923,0.979702499,0.93627758,0.967644859,0.964152414,0.940053013,0.923370704,0.921188257,0.920525702,0.982784333
126,0.9847089,0.984388318,0.95693461,0.972955294,0.979339911,0.938674934,0.933168547,0.932463637,0.933592375,0.986042472
127,0.981144385,0.978550701,0.961022115,0.976421083,0.973831472,0.947254937,0.941300364,0.937054903,0.933793579,0.984073464
128,0.98701196,0.987850853,0.965735876,0.983057481,0.98391971,0.963392118,0.949906698,0.950675104,0.948228244,0.989416381
129,0.992846189,0.99424934,0.978998334,0.98572313,0.985954741,0.971791342,0.961415304,0.959392904,0.948522929,0.994202116
130,0.98936526,0.989816262,0.975140154,0.983322382,0.983135571,0.970250623,0.956044227,0.957205445,0.947950012,0.992193303
131,0.989839881,0.989468353,0.97773988,0.988092365,0.985233562,0.976179772,0.965024762,0.966770003,0.955605167,0.991924193
132,0.986927952,0.98607605,0.973139438,0.982250905,0.984304212,0.96693117,0.96564836,0.964038042,0.943213606,0.984865691
133,0.992494612,0.990357425,0.975999054,0.987111458,0.990588821,0.981068135,0.968569181,0.972139154,0.957507197,0.994036954
