,LB,BOLE,MOOB,ARF,ARFre,SS-LB,VU-ARF,VU-ARFre,OALE,CALMID
1231,0.880155775,0.883737716,0.85339511,0.881145845,0.883168513,0.859239317,0.859700671,0.869699062,0.851217067,0.873387208
1232,0.87148799,0.88098847,0.781058503,0.868277748,0.864873291,0.848496998,0.826775218,0.845474861,0.844243891,0.859850065
1233,0.871850998,0.877124681,0.802289913,0.871452727,0.871527585,0.840615659,0.798866895,0.820035579,0.834399144,0.854617349
1234,0.874982192,0.876293175,0.832314305,0.878911809,0.880445185,0.845275396,0.808844601,0.831603472,0.845594473,0.85708973
1235,0.876292901,0.880696484,0.867866722,0.883696889,0.883773217,0.857484488,0.84992258,0.851301501,0.853125625,0.868652093
1236,0.857017165,0.863640483,0.862117665,0.865042976,0.864641318,0.850861064,0.849388385,0.853368409,0.853125794,0.862150413
1237,0.86154739,0.860641289,0.859942998,0.864576122,0.86311868,0.851641227,0.857176171,0.859943882,0.856201922,0.859656732
1238,0.837791522,0.83886993,0.819668593,0.849330474,0.852650172,0.784029842,0.816182491,0.828081932,0.820020382,0.815662945
1239,0.858235438,0.858485167,0.855963257,0.860453866,0.860094755,0.845598237,0.853175539,0.844816057,0.848010811,0.854129517
1240,0.852590829,0.858797692,0.854160447,0.860371881,0.860073611,0.842527858,0.858448918,0.85807149,0.85076583,0.852212323
1241,0.856065237,0.856729032,0.85345272,0.857198759,0.857767973,0.847659672,0.855977022,0.857099661,0.850331502,0.850683909
1242,0.85588551,0.858476823,0.857765149,0.859828295,0.860159063,0.851124575,0.857980172,0.85827216,0.85211428,0.847787632
1243,0.857482629,0.859485761,0.859765572,0.860517157,0.860362029,0.856370731,0.85885423,0.859662491,0.854420043,0.850263253
1244,0.853362935,0.854492235,0.855359919,0.857906561,0.856252906,0.842275811,0.851096317,0.852464005,0.849823273,0.839310125
1245,0.860090351,0.860222666,0.858062607,0.860601981,0.86055283,0.84536616,0.856750941,0.857190883,0.851157293,0.848773506
1246,0.85850078,0.860339638,0.859498659,0.860606061,0.860604192,0.858909328,0.860534923,0.8605234,0.858608882,0.858738547
1247,0.858759413,0.86008055,0.860206868,0.860606061,0.860597068,0.857994293,0.860566563,0.860494938,0.858003393,0.856672678
1248,0.859789324,0.864482746,0.87177105,0.865585938,0.865578402,0.862233024,0.863800307,0.864571704,0.865071344,0.862739808
1249,0.859715884,0.864352854,0.866390157,0.868678207,0.862001675,0.843223113,0.856285069,0.851330363,0.856771279,0.847754619
1250,0.859795036,0.857816681,0.858791539,0.860521292,0.859961184,0.851100823,0.860352646,0.858740898,0.85380849,0.854858347
1251,0.848162787,0.848353312,0.847219694,0.848231356,0.848090924,0.843078352,0.848141285,0.848174272,0.845426302,0.843853435
1252,0.858957041,0.858336253,0.870459447,0.872669747,0.868386459,0.851594701,0.865519317,0.8629738,0.865015982,0.863256409
1253,0.852772401,0.858507988,0.866432505,0.872271405,0.864452236,0.843519758,0.862341112,0.861761644,0.854723851,0.848445593
1254,0.832591429,0.827929599,0.838205781,0.84806614,0.848356012,0.763487465,0.847417076,0.84723874,0.822403451,0.781647555
1255,0.845345338,0.84372607,0.845562293,0.848482924,0.848437347,0.842243466,0.848179781,0.847195019,0.839905333,0.832743229
1256,0.83676289,0.836760549,0.835983077,0.837012645,0.83701758,0.835801989,0.83671127,0.837011411,0.833879984,0.829542286
1257,0.835466302,0.836403639,0.836047255,0.837017669,0.837028054,0.835222577,0.836959146,0.837011436,0.834604029,0.829559989
1258,0.836233167,0.836547224,0.835476662,0.837006975,0.836990931,0.834610057,0.836987792,0.83699702,0.834771246,0.833406109
1259,0.84107669,0.840447912,0.844074429,0.840713464,0.846975436,0.838621196,0.840174052,0.839958501,0.843448286,0.837825144
1260,0.836570762,0.837010922,0.835451679,0.837018652,0.836991496,0.835940148,0.8369494,0.836940543,0.834723584,0.835642126
1261,0.834465036,0.83588049,0.836262132,0.837033331,0.83703436,0.833153081,0.836858702,0.836865013,0.832748083,0.834318915
1262,0.836265045,0.836970917,0.830693436,0.837009457,0.836900675,0.828717137,0.836458434,0.836735747,0.830416216,0.83087769
1263,0.834556812,0.836426628,0.835007548,0.836949341,0.836969601,0.834240827,0.836520928,0.837024419,0.832942884,0.832845127
